Qwen API key configured: yes (config: /data/yixinchen/KG_Course/chip2022_medical_causal_kg/.env)
Qwen API key configured: yes
total_docs=1000 already_done=5 output=data/processed/qwen_unlabel_incremental.jsonl
Doc_unlabel_0005 items=9 error=False elapsed=69.539s
Doc_unlabel_0006 items=15 error=False elapsed=64.624s
Doc_unlabel_0007 items=20 error=False elapsed=73.558s
Doc_unlabel_0008 items=11 error=False elapsed=51.235s
Doc_unlabel_0009 items=9 error=False elapsed=64.138s
Doc_unlabel_0010 items=10 error=False elapsed=57.44s
Doc_unlabel_0011 items=9 error=False elapsed=66.678s
Doc_unlabel_0012 items=5 error=False elapsed=50.831s
Doc_unlabel_0013 items=8 error=False elapsed=57.843s
Doc_unlabel_0014 items=8 error=False elapsed=61.26s
Doc_unlabel_0015 items=21 error=False elapsed=68.712s
Doc_unlabel_0016 items=10 error=False elapsed=71.707s
Doc_unlabel_0017 items=8 error=False elapsed=71.356s
Doc_unlabel_0018 items=10 error=False elapsed=67.127s
Doc_unlabel_0019 items=7 error=False elapsed=52.471s
Doc_unlabel_0020 items=15 error=False elapsed=66.3s
Doc_unlabel_0021 items=17 error=False elapsed=84.075s
Doc_unlabel_0022 items=0 error=False elapsed=590.466s
Doc_unlabel_0023 items=12 error=False elapsed=69.243s
Doc_unlabel_0024 items=15 error=False elapsed=71.948s
Doc_unlabel_0025 items=15 error=False elapsed=85.0s
Doc_unlabel_0026 items=8 error=False elapsed=46.055s
Doc_unlabel_0027 items=7 error=False elapsed=59.506s
Doc_unlabel_0028 items=7 error=False elapsed=60.224s
Doc_unlabel_0029 items=7 error=False elapsed=59.92s
Doc_unlabel_0030 items=7 error=False elapsed=54.761s
Doc_unlabel_0031 items=3 error=False elapsed=79.244s
Doc_unlabel_0032 items=5 error=False elapsed=58.917s
Doc_unlabel_0033 items=16 error=False elapsed=71.599s
Doc_unlabel_0034 items=4 error=False elapsed=43.528s
Doc_unlabel_0035 items=19 error=False elapsed=65.825s
Doc_unlabel_0036 items=7 error=False elapsed=59.657s
Doc_unlabel_0037 items=5 error=False elapsed=54.595s
Doc_unlabel_0038 items=15 error=False elapsed=68.326s
Doc_unlabel_0039 items=12 error=False elapsed=81.008s
Doc_unlabel_0040 items=12 error=False elapsed=58.186s
Doc_unlabel_0041 items=6 error=False elapsed=60.735s
Doc_unlabel_0042 items=4 error=False elapsed=53.777s
Doc_unlabel_0043 items=8 error=False elapsed=64.916s
Doc_unlabel_0044 items=12 error=False elapsed=65.786s
Doc_unlabel_0045 items=13 error=False elapsed=83.689s
Doc_unlabel_0046 items=5 error=False elapsed=66.899s
Doc_unlabel_0047 items=10 error=False elapsed=57.596s
Doc_unlabel_0048 items=10 error=False elapsed=66.523s
Doc_unlabel_0049 items=24 error=False elapsed=78.825s
Doc_unlabel_0050 items=14 error=False elapsed=66.721s
Doc_unlabel_0051 items=9 error=False elapsed=61.137s
Doc_unlabel_0052 items=16 error=False elapsed=58.84s
Doc_unlabel_0053 items=16 error=False elapsed=66.622s
Doc_unlabel_0054 items=5 error=False elapsed=66.439s
Doc_unlabel_0055 items=10 error=False elapsed=70.193s
Doc_unlabel_0056 items=6 error=False elapsed=62.008s
Doc_unlabel_0057 items=8 error=False elapsed=63.804s
Doc_unlabel_0058 items=11 error=False elapsed=75.239s
Doc_unlabel_0059 items=9 error=False elapsed=56.121s
Doc_unlabel_0060 items=10 error=False elapsed=70.111s
Doc_unlabel_0061 items=22 error=False elapsed=82.987s
Doc_unlabel_0062 items=2 error=False elapsed=53.111s
Doc_unlabel_0063 items=11 error=False elapsed=50.486s
Doc_unlabel_0064 items=4 error=False elapsed=66.19s
Doc_unlabel_0065 items=11 error=False elapsed=52.952s
Doc_unlabel_0066 items=5 error=False elapsed=64.244s
Doc_unlabel_0067 items=7 error=False elapsed=74.377s
Doc_unlabel_0068 items=21 error=False elapsed=81.063s
Doc_unlabel_0069 items=9 error=False elapsed=70.662s
Doc_unlabel_0070 items=4 error=False elapsed=48.142s
Doc_unlabel_0071 items=9 error=False elapsed=57.251s
Doc_unlabel_0072 items=0 error=False elapsed=590.691s
Doc_unlabel_0073 items=4 error=False elapsed=56.501s
Doc_unlabel_0074 items=13 error=False elapsed=55.408s
Doc_unlabel_0075 items=8 error=False elapsed=63.581s
Doc_unlabel_0076 items=13 error=False elapsed=48.387s
Doc_unlabel_0077 items=4 error=False elapsed=39.265s
Doc_unlabel_0078 items=12 error=False elapsed=74.741s
Doc_unlabel_0079 items=17 error=False elapsed=65.506s
Doc_unlabel_0080 items=11 error=False elapsed=57.203s
Doc_unlabel_0081 items=11 error=False elapsed=64.724s
Doc_unlabel_0082 items=5 error=False elapsed=47.981s
Doc_unlabel_0083 items=12 error=False elapsed=74.787s
Doc_unlabel_0084 items=23 error=False elapsed=77.997s
Doc_unlabel_0085 items=6 error=False elapsed=67.804s
Doc_unlabel_0086 items=5 error=False elapsed=40.172s
Doc_unlabel_0087 items=13 error=False elapsed=61.339s
Doc_unlabel_0088 items=8 error=False elapsed=50.979s
Doc_unlabel_0089 items=21 error=False elapsed=67.945s
Doc_unlabel_0090 items=11 error=False elapsed=77.457s
Doc_unlabel_0091 items=4 error=False elapsed=60.144s
Doc_unlabel_0092 items=20 error=False elapsed=79.517s
Doc_unlabel_0093 items=10 error=False elapsed=60.38s
Doc_unlabel_0094 items=10 error=False elapsed=51.356s
Doc_unlabel_0095 items=10 error=False elapsed=68.421s
Doc_unlabel_0096 items=14 error=False elapsed=64.934s
Doc_unlabel_0097 items=4 error=False elapsed=51.92s
Doc_unlabel_0098 items=11 error=False elapsed=73.266s
Doc_unlabel_0099 items=10 error=False elapsed=70.59s
Doc_unlabel_0100 items=29 error=False elapsed=78.165s
Doc_unlabel_0101 items=6 error=False elapsed=52.024s
Doc_unlabel_0102 items=3 error=False elapsed=78.48s
Doc_unlabel_0103 items=15 error=False elapsed=67.124s
Doc_unlabel_0104 items=11 error=False elapsed=81.137s
Doc_unlabel_0105 items=18 error=False elapsed=90.817s
Doc_unlabel_0106 items=8 error=False elapsed=74.89s
Doc_unlabel_0107 items=5 error=False elapsed=62.326s
Doc_unlabel_0108 items=6 error=False elapsed=66.877s
Doc_unlabel_0109 items=14 error=False elapsed=75.341s
Doc_unlabel_0110 items=9 error=False elapsed=63.338s
Doc_unlabel_0111 items=4 error=False elapsed=53.187s
Doc_unlabel_0112 items=7 error=False elapsed=59.779s
Doc_unlabel_0113 items=19 error=False elapsed=70.544s
Doc_unlabel_0114 items=11 error=False elapsed=44.99s
Doc_unlabel_0115 items=5 error=False elapsed=56.841s
Doc_unlabel_0116 items=5 error=False elapsed=54.981s
Doc_unlabel_0117 items=11 error=False elapsed=68.282s
Doc_unlabel_0118 items=18 error=False elapsed=81.226s
Doc_unlabel_0119 items=11 error=False elapsed=64.554s
Doc_unlabel_0120 items=13 error=False elapsed=62.52s
Doc_unlabel_0121 items=7 error=False elapsed=56.84s
Doc_unlabel_0122 items=13 error=False elapsed=65.295s
